X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
,11/5/21 10:02,11/5/21,RRD,Rr Donnelley & Sons Co,"Chatham Asset Management, LLC",10%,P - Purchase,$9.12 ,"15,000","10,927,100",0%,"$136,788 ",,,,
,11/5/21 14:09,11/5/21,CHE,Chemed Corp,Grace Patrick P,Dir,S - Sale,$494.28 ,-279,"3,270",-8%,"($137,904)",,,,
,11/5/21 14:57,11/5/21,APD,Air Products & Chemicals Inc /de/,Smith Wayne Thomas,Dir,P - Purchase,$305.61 ,"1,637","1,637",New,"$500,282 ",,,,
,11/5/21 15:06,11/5/21,FMBM,F&m Bank Corp,Russell Kevin A.,Executive Vice President,P - Purchase,$28.73 ,2,"1,344",0%,$50 ,,,,
,11/5/21 15:12,11/5/21,FMBM,F&m Bank Corp,Hanna Mark Christopher,President & CEO,P - Purchase,$28.73 ,35,"10,413",0%,"$1,000 ",,,,
,11/5/21 15:18,11/5/21,FMBM,F&m Bank Corp,Shillingburg Stephanie E,Executive Vice President,P - Purchase,$28.73 ,3,"8,882",0%,$100 ,,,,
,11/5/21 15:26,11/5/21,FMBM,F&m Bank Corp,Comer Carrie A,EVP & CFO,P - Purchase,$28.73 ,2,"5,265",0%,$50 ,,,,
,11/5/21 15:36,11/5/21,CTRA,Coterra Energy Inc.,Barron Francis Brian,"SVP, GC",S - Sale,$21.78 ,"-65,288","371,921",-15%,"($1,421,973)",,,,
,11/5/21 16:15,11/5/21,KOPN,Kopin Corp,Baker Paul Christopher,Strategic Business Officer,S - Sale,$7.00 ,"-19,977","162,500",-11%,"($139,839)",,,,
,11/5/21 16:15,11/5/21,SM,Sm Energy Co,Sullivan William D,Dir,S - Sale,$35.74 ,"-55,000","139,811",-28%,"($1,965,700)",,,,
,11/5/21 16:18,11/5/21,JEF,Jefferies Financial Group Inc.,Friedman Brian P,Pres,S - Sale,$43.82 ,"-293,561","8,189,882",-3%,"($12,863,638)",,,,
,11/5/21 16:22,11/5/21,HBAN,Huntington Bancshares Inc /md/,Wasserman Zachary Jacob,"CFO, Senior EVP",S - Sale,$16.05 ,"-20,824","114,252",-15%,"($334,225)",,,,
,11/5/21 16:30,11/5/21,RWT,Redwood Trust Inc,Macomber Sasha G.,Chief Human Resource Officer,P - Purchase,$13.83 ,933,"1,072",671%,"$12,899 ",,,,
,11/5/21 16:37,11/5/21,MASS,908 Devices Inc.,Griffith Joseph H. IV,CFO,S - Sale,$39.08 ,"-2,800","88,780",-3%,"($109,424)",,,,
,11/5/21 16:49,11/5/21,NXST,"Nexstar Media Group, Inc.",Zimmer Dana,"Pres, Distribution",S - Sale,$166.42 ,"-1,352","1,792",-43%,"($225,005)",,,,
D,11/5/21 16:50,11/5/21,SNBR,Sleep Number Corp,Brown Kevin Kennedy,"EVP, CMO",S - Sale+OE,$89.79 ,"-16,190","33,349",-33%,"($1,453,707)",,,,
,11/5/21 16:56,11/5/21,PIPR,Piper Sandler Companies,Geelan John W,GC,S - Sale,$179.42 ,"-2,500","13,786",-15%,"($448,537)",,,,
,11/5/21 17:08,11/5/21,SCHW,Schwab Charles Corp,Schwab Charles R.,COB,S - Sale,$81.80 ,"-59,177","114,787,463",0%,"($4,840,661)",,,,
,11/5/21 17:20,11/5/21,PKBK,"Parke Bancorp, Inc.",Dalton Daniel J,Dir,S - Sale,$22.50 ,"-5,000","163,904",-3%,"($112,500)",,,,
D,11/5/21 17:22,11/5/21,XYL,Xylem Inc.,Pine Matthew Francis,SVP,S - Sale+OE,$130.49 ,"-2,000","37,217",-5%,"($260,980)",,,,
,11/5/21 17:22,11/5/21,CAR,"Avis Budget Group, Inc.",Martins Izilda P,"EVP, Americas",S - Sale,$287.00 ,"-3,215","12,862",-20%,"($922,705)",,,,
,11/5/21 17:24,11/5/21,CAR,"Avis Budget Group, Inc.",Rankin Patrick K,"Pres, International",S - Sale,$277.46 ,"-4,275","17,103",-20%,"($1,186,139)",,,,
,11/5/21 17:28,11/5/21,KALU,Kaiser Aluminum Corp,Harvey Keith,"Pres, CEO",S - Sale,$105.00 ,-500,"60,386",-1%,"($52,500)",,,,
,11/5/21 17:29,11/5/21,CAR,"Avis Budget Group, Inc.",Linnen Edward P,"EVP, CHRO",S - Sale,$272.14 ,"-8,300","37,027",-18%,"($2,258,762)",,,,
,11/5/21 17:31,11/5/21,CAR,"Avis Budget Group, Inc.",Degenova Cathleen,Chief Accounting Officer,S - Sale,$272.14 ,-250,"1,011",-20%,"($68,035)",,,,
,11/5/21 17:32,11/5/21,CAR,"Avis Budget Group, Inc.",Sera Jean M,"SVP, GC, Corp. Sec.",S - Sale,$277.76 ,"-3,386","15,386",-18%,"($940,482)",,,,
D,11/5/21 17:31,11/5/21,EW,Edwards Lifesciences Corp,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$117.17 ,"-11,050","218,377",-5%,"($1,294,708)",,,,
,11/5/21 17:42,11/5/21,CWBC,Community West Bancshares /,Boutain Dana L,Dir,P - Purchase,$13.05 ,"1,000","2,001",100%,"$13,050 ",,,,
,11/5/21 17:59,11/5/21,HALO,"Halozyme Therapeutics, Inc.",Matsui Connie,Dir,S - Sale,$40.38 ,"-32,000","181,983",-15%,"($1,292,113)",,,,
,11/5/21 18:18,11/5/21,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,$75.74 ,"6,601","36,309,018",0%,"$499,960 ",,,,
D,11/5/21 18:33,11/5/21,GSBC,"Great Southern Bancorp, Inc.",Maples Mark A,Vice President of Subsidiary,S - Sale+OE,$57.64 ,-187,0,-100%,"($10,778)",,,,
D,11/5/21 18:33,11/5/21,CYTK,Cytokinetics Inc,Henderson John T,Dir,S - Sale+OE,$40.00 ,"-8,503","13,338",-39%,"($340,120)",,,,
D,11/5/21 18:33,11/5/21,CYTK,Cytokinetics Inc,Parshall B Lynne,Dir,S - Sale+OE,$40.00 ,"-30,996","5,000",-86%,"($1,239,840)",,,,
,11/5/21 18:47,11/5/21,JNPR,Juniper Networks Inc,Stensrud William,Dir,S - Sale,$31.30 ,"-20,000","101,969",-16%,"($625,912)",,,,
