FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-06-01,2021-06-01,ALK,"Alaska Air Group, Inc.",Tilden Bradley D,COB,S - Sale,69.85,-6500.0,133500.0,-5.0,-454017.0
2021-06-01,2021-06-01,CVCY,Central Valley Community Bancorp,Kim James J,EVP,P - Purchase,16.43,619.0,14396.0,4.0,10173.0
2021-06-01,2021-06-01,OPOF,Old Point Financial Corp,Keefe William F,Dir,P - Purchase,23.0,200.0,7900.0,3.0,4600.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Adams Arthur Loran,"EVP, Dir OF REG RISK MNGT",P - Purchase,15.41,19.0,3041.0,1.0,293.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Bird Michael R,Dir,P - Purchase,15.41,32.0,6514.0,0.0,493.0
2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Becker Daniel J.,Dir,P - Purchase,16.0,5000.0,5000.0,99999.0,80000.0
2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Josey John A.,Dir,P - Purchase,16.0,7000.0,72292.0,11.0,112000.0
2021-06-01,2021-06-01,TTMI,Ttm Technologies Inc,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,15.19,-1500.0,77041.0,-2.0,-22785.0
2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Miele Laura,Chief Studios Officer,S - Sale,142.92,-785.0,36032.0,-2.0,-112192.0
2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Bruzzo Chris,EVP,S - Sale,143.34,-2500.0,27658.0,-8.0,-358355.0
2021-06-01,2021-06-01,INSE,"Inspired Entertainment, Inc.",Davis Evan Wainhouse,Former 10% Owner,S - Sale,9.25,-6217628.0,0.0,-100.0,-57513059.0
2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,2422.0,-1385.0,69058.0,-2.0,-3354470.0
2021-06-01,2021-06-01,FRG,"Franchise Group, Inc.",Laurence Andrew M,EVP,P - Purchase,36.0,50000.0,400750.0,14.0,1800000.0
2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Mather Ann,Dir,S - Sale,2422.0,-25.0,1746.0,-1.0,-60550.0
2021-06-01,2021-06-01,BL,"Blackline, Inc.",Tucker Therese,Exec Chair,S - Sale,102.25,-10000.0,4663183.0,0.0,-1022508.0
2021-06-01,2021-06-01,PRI,"Primerica, Inc.",Rand Alison S.,"EVP, CFO",S - Sale,163.0,-2000.0,14847.0,-12.0,-326000.0
2021-06-01,2021-06-01,MATX,"Matson, Inc.",Forest Ronald J,Pres,S - Sale,65.26,-2500.0,77127.0,-3.0,-163154.0
2021-06-01,2021-06-01,GNRC,Generac Holdings Inc.,Jagdfeld Aaron,CEO,S - Sale,331.18,-5000.0,635913.0,-1.0,-1655881.0
2021-06-01,2021-06-01,WMPN,William Penn Bancorporation,Logan Jonathan Thomas,"EVP, CFO",P - Purchase,11.26,5000.0,6611.0,310.0,56275.0
2021-06-01,2021-06-01,FDS,Factset Research Systems Inc,Snow Frederick Philip,CEO,S - Sale+OE,334.9,-2500.0,3897.0,-39.0,-837250.0
2021-06-01,2021-06-01,WOOF,"Petco Health & Wellness Company, Inc.","Scooby Aggregator, LP",10%,S - Sale,23.16,-22000000.0,149224140.0,-13.0,-509520000.0
2021-06-01,2021-06-01,VRSK,"Verisk Analytics, Inc.",Wright David B,Dir,S - Sale,171.5,-3000.0,26298.0,-10.0,-514500.0
2021-06-01,2021-06-01,VRSK,"Verisk Analytics, Inc.",Shavel Lee,"Group Pres, CFO",S - Sale,173.14,-5800.0,33655.0,-15.0,-1004194.0
2021-06-01,2021-06-01,OSH,"Oak Street Health, Inc.",General Atlantic LLC,"Dir, 10%",S - Sale,60.14,-7260689.0,61384475.0,-11.0,-436657836.0
2021-06-01,2021-06-01,KRTX,"Karuna Therapeutics, Inc.",Pande Atul,Dir,S - Sale+OE,111.44,-2500.0,0.0,-100.0,-278600.0
2021-06-01,2021-06-01,ZOM,Zomedica Corp.,Cohen Robert,CEO,S - Sale+OE,0.81,-3193750.0,0.0,-100.0,-2595880.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Van Dyke Litz H,CEO,P - Purchase,15.41,129.0,18557.0,1.0,1988.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Karavatakis Phyllis Q.,SR EVP OF SPECIAL PROJECTS,P - Purchase,15.41,32.0,17926.0,0.0,493.0
2021-06-01,2021-06-01,OHI,Omega Healthcare Investors Inc,Whitman Burke W,Dir,P - Purchase,36.96,500.0,19585.0,3.0,18480.0
2021-06-01,2021-06-01,PLAY,"Dave & Buster'S Entertainment, Inc.",Jenkins Brian,CEO,S - Sale,42.13,-5784.0,162607.0,-3.0,-243706.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Feldmann Gregory W,Dir,P - Purchase,15.41,22.0,7563.0,0.0,339.0
2021-06-02,2021-06-02,MMS,"Maximus, Inc.",Ruddy Raymond B,Dir,S - Sale,90.87,-24820.0,103648.0,-19.0,-2255339.0
2021-06-02,2021-06-02,HDSN,Hudson Technologies Inc /ny,Houghton Kathleen,"VP - Sales, Marketing",S - Sale+OE,3.0,-3582.0,0.0,-100.0,-10740.0
2021-06-02,2021-06-01,WRLD,World Acceptance Corp,Way Charles D,Dir,S - Sale+OE,163.75,-5000.0,14989.0,-25.0,-818735.0
2021-06-02,2021-06-01,HDSN,Hudson Technologies Inc /ny,Abbatecola Vincent P,Dir,S - Sale,2.95,-16298.0,116928.0,-12.0,-48079.0
2021-06-02,2021-06-01,TRST,Trustco Bank Corp N Y,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,38.0,604.0,23925.0,3.0,22952.0
2021-06-02,2021-06-01,VSTO,Vista Outdoor Inc.,Ramsey Dylan Scott,"VP,GC, Secretary",S - Sale,44.74,-4017.0,27625.0,-13.0,-179721.0
2021-06-02,2021-06-01,LRCX,Lam Research Corp,Vahedi Vahid,SVP,S - Sale,656.0,-6615.0,27958.0,-19.0,-4339440.0
