FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2022-03-28,2022-03-24,RIBT,Ricebran Technologies,Chemerow David I.,Dir,P - Purchase,0.5,50000.0,260332.0,0.24,25079.0
2022-03-28,2022-03-28,M,"Macy'S, Inc.",Gennette Jeffrey,"COB, CEO",S - Sale+OE,25.4,-31447.0,351523.0,-8.0,-798886.0
2022-03-28,2022-03-24,BNFT,"Benefitfocus, Inc.","Indaba Capital Management, L.P.",10%,P - Purchase,12.63,142047.0,3963694.0,0.04,1793400.0
2022-03-28,2022-03-25,AFL,Aflac Inc,Fukuzawa Toshihiko,Dir,S - Sale,65.5,-1300.0,10226.0,-11.0,-85150.0
2022-03-28,2022-03-24,DBX,"Dropbox, Inc.",Young Timothy H.,Pres,S - Sale,23.09,-12750.0,1891627.0,-1.0,-294362.0
2022-03-28,2020-05-21,LMAT,Lemaitre Vascular Inc,Roush John A,Dir,P - Purchase,25.28,151.0,20151.0,0.01,3817.0
2022-03-28,2022-03-25,HES,Hess Corp,Hill Gregory P.,"COO, Pres, E, P",S - Sale+OE,106.23,-13771.0,101635.0,-12.0,-1462908.0
2022-03-28,2022-03-24,AVGO,Broadcom Inc.,Kawwas Charlie B,COO,S - Sale,619.89,-2520.0,74656.0,-3.0,-1562113.0
2022-03-28,2022-03-25,BUKS,Butler National Corp,Hayden David B,Dir,S - Sale,0.68,-294118.0,1087059.0,-21.0,-200000.0
2022-03-28,2022-03-25,RCL,Royal Caribbean Cruises Ltd,Bayley Michael W,"Pres,CEO,Royal Caribbean Intl",S - Sale,77.02,-3859.0,120588.0,-3.0,-297222.0
2022-03-28,2022-03-25,BUKS,Butler National Corp,Edgar John M.,Dir,P - Purchase,0.68,294118.0,294118.0,0.0,200000.0
2022-03-28,2022-03-28,M,"Macy'S, Inc.",Garcia C Elisa D,"EVP, CLO, Secretary",S - Sale+OE,25.4,-3589.0,69787.0,-5.0,-91174.0
2022-03-28,2022-03-24,CYRN,Cyren Ltd.,Tamir Michael,"VP, Global Support Services",S - Sale,7.7,-3012.0,482443.0,-1.0,-23192.0
2022-03-28,2022-03-25,TTC,Toro Co,Rodier Richard W,"Group VP, Construction, RLC",S - Sale+OE,85.95,-3600.0,29429.0,-11.0,-309427.0
2022-03-28,2022-03-24,CYRN,Cyren Ltd.,Fleck Michael,VP Marketing,S - Sale+OE,7.7,-101.0,314899.0,0.0,-778.0
2022-03-28,2022-03-24,TTC,Toro Co,Walters Daryn A,"VP, Exmark, Intimidator Group",S - Sale+OE,85.99,-1100.0,3648.0,-23.0,-94590.0
2022-03-28,2022-03-24,MU,Micron Technology Inc,Arnzen April S,"SVP, Chief People Officer",S - Sale,76.0,-5600.0,89172.0,-6.0,-425600.0
2022-03-28,2022-03-25,SSKN,"Strata Skin Sciences, Inc.",Humphries William D.,Dir,P - Purchase,1.73,16950.0,484440.0,0.04,29385.0
2022-03-28,2022-03-24,CYRN,Cyren Ltd.,Johnson Bruce Harold,"VP, Sales North America",S - Sale,7.7,-2343.0,347657.0,-1.0,-18041.0
2022-03-28,2022-03-25,BNED,"Barnes & Noble Education, Inc.",Golden David G,Dir,P - Purchase,4.0,21818.0,231304.0,0.1,87272.0
2022-03-28,2022-03-23,QTRX,Quanterix Corp,Duffy David C.,"SVP R, D, CTO",S - Sale,30.0,-3266.0,54730.0,-6.0,-97980.0
2022-03-28,2022-03-24,FDP,Fresh Del Monte Produce Inc,Pelaez Reyes Jorge,"VP, Central America",S - Sale+OE,25.57,-2447.0,0.0,-100.0,-62570.0
2022-03-28,2022-03-25,NOVN,"Novan, Inc.",Bierman James L,Dir,P - Purchase,3.55,2000.0,2000.0,0.0,7090.0
2022-03-28,2022-03-24,AVGO,Broadcom Inc.,Brazeal Mark David,"Chief Legal, Corp Affairs Ofc",S - Sale,610.0,-11214.0,28750.0,-28.0,-6840540.0
2022-03-28,2022-03-25,HZN,Horizon Global Corp,Kennedy John C,Dir,P - Purchase,5.47,1104.0,1132492.0,0.0,6039.0
2022-03-28,2022-03-24,GMS,Gms Inc.,"Coliseum Capital Management, LLC",10%,P - Purchase,51.5,10000.0,5537572.0,0.0,515000.0
2022-03-28,2022-03-22,EKSO,"Ekso Bionics Holdings, Inc.",Glenn John,CFO,S - Sale,2.82,-3462.0,35130.0,-9.0,-9762.0
2022-03-28,2022-03-24,CYRN,Cyren Ltd.,Markowitz Eva Lilias,"VP, HR",S - Sale,7.7,-2343.0,385097.0,-1.0,-18041.0
