FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-10-01,2021-09-30,SAFT,Safety Insurance Group Inc,Whitford Christopher Thomas,"VP, CFO, Secretary",S - Sale,79.8,-200.0,11883.0,-2.0,-15959.0
2021-10-01,2021-09-30,NVAX,Novavax Inc,Glenn Gregory M,"Pres, R, D",S - Sale,207.25,-693.0,4061.0,-15.0,-143622.0
2021-10-01,2021-09-29,ALVR,"Allovir, Inc.",Van Beek Jeroen B,Chief Commercial Officer,S - Sale,25.14,-16584.0,418595.0,-4.0,-416906.0
2021-10-01,2021-09-30,SNV,Synovus Financial Corp,Stelling Kessel D,Exec COB,S - Sale,45.04,-38602.0,316993.0,-11.0,-1738813.0
2021-10-01,2021-09-29,AN,"Autonation, Inc.",Lampert Edward S,10%,S - Sale,129.17,-94574.0,9926245.0,-1.0,-12216502.0
2021-10-01,2021-09-29,WMG,Warner Music Group Corp.,Lousada Max,"CEO, Recorded Music",S - Sale,41.05,-510165.0,3655810.0,-12.0,-20942273.0
2021-10-01,2021-09-30,INTG,Intergroup Corp,Love John C,Dir,S - Sale,45.29,-1600.0,17561.0,-8.0,-72459.0
2021-10-01,2021-09-30,CNXC,Concentrix Corp,Polk Dennis,Dir,S - Sale,177.1,-10000.0,23084.0,-30.0,-1771021.0
2021-10-01,2021-09-30,MDT,Medtronic Plc,Lerman Bradley E,"SVP GC, Corp Sec",S - Sale+OE,126.58,-49147.0,48763.0,-50.0,-6221027.0
2021-10-01,2021-09-30,BXMT,"Blackstone Mortgage Trust, Inc.",Keenan Katharine A,"CEO, Pres",S - Sale,30.61,-1906.0,84245.0,-2.0,-58343.0
2021-10-01,2021-09-29,USIO,"Usio, Inc.",Long Michael R,Dir,S - Sale,5.9,-4000.0,1996475.0,0.0,-23580.0
2021-10-01,2021-09-29,PGNY,"Progyny, Inc.",Payson Norman,Dir,S - Sale,55.98,-16660.0,834099.0,-2.0,-932675.0
