X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,Qty2,Value2
DM,2021-06-02 21:49:08,2021-06-01,ACRS,"Aclaris Therapeutics, Inc.",Gordon David N.,Chief Medical Officer,S - Sale+OE,$22.01,"-51,914","144,078",-26%,"-$1,142,375",#N/A,#N/A
DM,2021-06-02 21:47:22,2021-06-01,ACRS,"Aclaris Therapeutics, Inc.",Ali-Jackson Kamil,GC,S - Sale+OE,$22.10,"-45,119","131,688",-26%,"-$996,963",#N/A,#N/A
D,2021-06-02 21:45:41,2021-06-02,ACRS,"Aclaris Therapeutics, Inc.",Monahan Joseph,Chief Scientific Officer,S - Sale+OE,$21.64,"-21,790","85,535",-20%,"-$471,437",#N/A,#N/A
D,2021-06-02 21:45:27,2021-06-01,FNKO,"Funko, Inc.",Mariotti Brian Richard,CEO,S - Sale+OE,$26.12,"-81,464","2,495,011",-3%,"-$2,127,550",#N/A,#N/A
D,2021-06-02 21:43:35,2021-06-02,ACRS,"Aclaris Therapeutics, Inc.",Ruffo Frank,CFO,S - Sale+OE,$21.64,"-15,037","169,872",-8%,"-$325,383",#N/A,#N/A
D,2021-06-02 21:41:55,2021-06-02,ACRS,"Aclaris Therapeutics, Inc.",Walker Neal,"Pres, CEO",S - Sale+OE,$21.64,"-33,260","1,232,182",-3%,"-$719,735",#N/A,#N/A
D,2021-06-02 21:39:20,2021-06-01,FIGS,"Figs, Inc.","Tulco, LLC",10%,S - Sale+OE,$22.00,"-25,707,953","58,067,602",-31%,"-$565,574,966",#N/A,#N/A
,2021-06-02 21:36:00,2021-06-01,FIGS,"Figs, Inc.",Varelas Christopher Peter,Dir,P - Purchase,$22.00,#ERROR!,"52,274",667%,#ERROR!,45455,1000010
M,2021-06-02 21:31:49,2021-05-28,AMST,Amesite Inc.,Tompkins Mark N.,10%,S - Sale,$2.46,"-53,316","2,043,103",-3%,"-$131,224",#N/A,#N/A
M,2021-06-02 21:29:51,2021-05-28,VLDR,"Velodyne Lidar, Inc.",Hall Marta Thoma,Dir,S - Sale,$9.74,"-750,000","64,956,389",-1%,"-$7,303,250",#N/A,#N/A
D,2021-06-02 21:26:12,2021-06-01,SILK,Silk Road Medical Inc,Davis Andrew S.,Chief Commercial Officer,S - Sale+OE,$47.23,"-6,324","31,660",-17%,"-$298,660",#N/A,#N/A
,2021-06-02 21:22:38,2021-06-01,EVOP,"Evo Payments, Inc.",Wilson Darren,"Pres, International",S - Sale,$28.62,"-4,000","60,300",-6%,"-$114,480",#N/A,#N/A
D,2021-06-02 21:22:01,2021-06-01,EVOP,"Evo Payments, Inc.",De Groot Steven J,"EVP, GC",S - Sale+OE,$28.69,"-2,000","81,547",-2%,"-$57,380",#N/A,#N/A
D,2021-06-02 21:11:17,2021-06-02,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$329.69,"-63,105","2,163,346",-3%,"-$20,805,115",#N/A,#N/A
M,2021-06-02 21:09:48,2021-05-28,BYND,"Beyond Meat, Inc.",Stone Christopher Isaac,Dir,S - Sale,$145.54,"-30,000","143,238",-17%,"-$4,366,250",#N/A,#N/A
D,2021-06-02 21:04:43,2021-06-01,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$329.37,"-66,698","2,174,083",-3%,"-$21,968,296",#N/A,#N/A
M,2021-06-02 21:03:58,2021-05-28,MNRL,"Brigham Minerals, Inc.",Keenan W Howard Jr,Dir,S - Sale,$18.50,"-117,686","26,564",-82%,"-$2,177,650",#N/A,#N/A
,2021-06-02 21:02:51,2021-05-28,RM,Regional Management Corp.,Beck Robert William,"Pres, CEO",S - Sale,$46.34,"-5,500","67,834",-7%,"-$254,870",#N/A,#N/A
M,2021-06-02 21:02:06,2021-06-01,ZLAB,Zai Lab Ltd,Cho William Ki Chul,CFO,S - Sale,$180.20,"-10,000","50,000",-17%,"-$1,802,007",#N/A,#N/A
DM,2021-06-02 21:00:27,2021-06-01,ZLAB,Zai Lab Ltd,Du Ying,"Chairwoman, CEO",S - Sale+OE,$176.30,"-111,111","1,008,653",-10%,"-$19,589,250",#N/A,#N/A
,2021-06-02 20:57:39,2021-05-28,ESNT,Essent Group Ltd.,Spiegel William,Dir,S - Sale,$47.87,"-8,055","24,522",-25%,"-$385,593",#N/A,#N/A
D,2021-06-02 20:52:57,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Grant Papanek Julie,Dir,P - Purchase,$16.00,#ERROR!,"11,200,645",0%,#ERROR!,13000,208000
,2021-06-02 20:45:11,2021-05-28,SNOW,Snowflake Inc.,Briggs Teresa,Dir,S - Sale,$240.34,"-15,000","5,000",-75%,"-$3,605,052",#N/A,#N/A
D,2021-06-02 20:44:22,2021-05-28,SNOW,Snowflake Inc.,McMahon John Dennis,Dir,S - Sale+OE,$237.00,"-37,024","391,753",-9%,"-$8,774,688",#N/A,#N/A
DM,2021-06-02 20:42:52,2021-05-28,AMRK,"A-Mark Precious Metals, Inc.",Roberts Gregory N,"CEO, 10%",S - Sale+OE,$53.17,"-18,872","789,238",-2%,"-$1,003,358",#N/A,#N/A
M,2021-06-02 20:31:50,2021-05-28,BH,Biglari Holdings Inc.,"Biglari, Sardar","COB, CEO, 10%",P - Purchase,$845.22,719,"1,416,282",0%,#ERROR!,719,607716
,2021-06-02 20:31:40,2021-05-28,BLFS,Biolife Solutions Inc,Rice Michael,CEO,S - Sale,$33.87,-802,"270,212",0%,"-$27,164",#N/A,#N/A
,2021-06-02 20:31:17,2021-05-28,BLFS,Biolife Solutions Inc,Mathew Aby J.,"EVP, Chief Scientific Off",S - Sale,$33.87,-375,"210,304",0%,"-$12,701",#N/A,#N/A
,2021-06-02 20:30:59,2021-05-28,BLFS,Biolife Solutions Inc,Foster Karen A.,Chief Quality Officer,S - Sale,$33.87,-264,"73,384",0%,"-$8,942",#N/A,#N/A
,2021-06-02 20:27:03,2021-06-01,ZNTL,"Zentalis Pharmaceuticals, Inc.",Gallagher Cam,Dir,S - Sale,$54.06,"-10,000","515,573",-2%,"-$540,551",#N/A,#N/A
D,2021-06-02 20:27:00,2021-06-01,SWAV,"Shockwave Medical, Inc.",Puckett Dan,CFO,S - Sale+OE,$178.66,"-2,500","45,788",-5%,"-$446,646",#N/A,#N/A
,2021-06-02 20:26:39,2021-06-01,ZNTL,"Zentalis Pharmaceuticals, Inc.",Bunker Kevin D.,COO,S - Sale,$54.09,"-8,420","1,053,333",-1%,"-$455,442",#N/A,#N/A
,2021-06-02 20:26:19,2021-06-01,ZNTL,"Zentalis Pharmaceuticals, Inc.","Epperly Melissa B,",CFO,S - Sale,$54.05,"-3,083","260,157",-1%,"-$166,641",#N/A,#N/A
,2021-06-02 20:26:00,2021-06-01,ZNTL,"Zentalis Pharmaceuticals, Inc.",Sun Anthony Y,"Pres, CEO",S - Sale,$54.03,"-26,794","2,837,125",-1%,"-$1,447,679",#N/A,#N/A
,2021-06-02 20:20:31,2021-06-02,DNB,"Dun & Bradstreet Holdings, Inc.",Jabbour Anthony M,CEO,P - Purchase,$20.96,#ERROR!,"5,055,700",1%,#ERROR!,47700,999620
M,2021-06-02 20:17:17,2021-05-28,ALRM,"Alarm.Com Holdings, Inc.",Trundle Stephen,"Pres, CEO",S - Sale,$81.89,"-40,279","2,196,538",-2%,"-$3,298,334",#N/A,#N/A
D,2021-06-02 20:08:48,2021-06-01,ZEN,"Zendesk, Inc.",McDermott Adrian,CTO,S - Sale+OE,$135.81,"-9,360","85,321",-10%,"-$1,271,176",#N/A,#N/A
,2021-06-02 19:58:16,2021-05-28,WDAY,"Workday, Inc.",Sauer Richard Harry,"GC, Secty",S - Sale,$230.72,"-2,483","80,418",-3%,"-$572,878",#N/A,#N/A
,2021-06-02 19:52:07,2021-05-28,BEEM,Beam Global,Davidson Peter Warner,Dir,S - Sale,$29.26,"-10,000","48,034",-17%,"-$292,599",#N/A,#N/A
DM,2021-06-02 19:36:02,2021-05-28,PSB,Ps Business Parks Inc/Ca,Schultz Peter,Dir,S - Sale+OE,$157.00,"-12,410","1,210",-91%,"-$1,948,369",#N/A,#N/A
D,2021-06-02 19:34:03,2021-06-01,AMPH,"Amphastar Pharmaceuticals, Inc.",Koo Richard,Dir,S - Sale+OE,$19.28,"-25,827","263,270",-9%,"-$498,009",#N/A,#N/A
D,2021-06-02 19:32:10,2021-06-01,NEWR,"New Relic, Inc.",Cirne Lewis,"CEO, 10%",S - Sale+OE,$62.43,"-41,001","5,685,475",-1%,"-$2,559,639",#N/A,#N/A
,2021-06-02 19:29:04,2021-06-01,PSB,Ps Business Parks Inc/Ca,Havner Ronald L Jr,Dir,S - Sale,$156.73,"-4,137","155,584",-3%,"-$648,392",#N/A,#N/A
,2021-06-02 19:23:29,2021-05-28,ARDX,"Ardelyx, Inc.",Rosenbaum David P.,Chief Development Officer,S - Sale,$7.22,"-3,062","263,777",-1%,"-$22,098",#N/A,#N/A
,2021-06-02 19:23:03,2021-06-01,WYNN,Wynn Resorts Ltd,Whittemore Ellen F,"EVP, GC",S - Sale,$135.00,"-1,500","37,355",-4%,"-$202,500",#N/A,#N/A
,2021-06-02 19:21:22,2021-06-01,MDRR,"Medalist Diversified Reit, Inc.","Ault Global Holdings, Inc.",10%,S - Sale,$1.56,"-100,000","1,480,000",-6%,"-$156,000",#N/A,#N/A
,2021-06-02 19:07:12,2021-06-02,TTEK,Tetra Tech Inc,Ritrievi Kimberly E,Dir,S - Sale,$119.05,"-8,524","33,376",-20%,"-$1,014,752",#N/A,#N/A
,2021-06-02 19:04:19,2021-06-01,ATUS,"Altice Usa, Inc.",Olsen Michael,"EVP, Gen. Counsel, Secy",S - Sale,$36.19,"-3,000","38,038",-7%,"-$108,570",#N/A,#N/A
,2021-06-02 19:01:07,2021-06-02,WHLR,"Wheeler Real Estate Investment Trust, Inc.",Carter Stefani D,Dir,P - Purchase,$4.89,#ERROR!,"1,800",New,#ERROR!,1800,8802
,2021-06-02 19:00:29,2021-06-02,NTGR,"Netgear, Inc.",Durr Laura,Dir,S - Sale,$36.80,"-3,400","14,207",-19%,"-$125,120",#N/A,#N/A
,2021-06-02 19:00:12,2021-05-28,SNAP,Snap Inc,O'Sullivan Michael J.,GC,S - Sale,$62.06,"-6,000","1,280,571",0%,"-$372,380",#N/A,#N/A
,2021-06-02 18:58:13,2021-06-01,TRTN,Triton International Ltd,Germain Claude,Dir,S - Sale,$54.50,"-1,500","47,331",-3%,"-$81,750",#N/A,#N/A
,2021-06-02 18:56:20,2021-05-28,FB,Facebook Inc,Fischer David B.,Chief Revenue Officer,S - Sale,$331.00,"-10,145","25,052",-29%,"-$3,357,995",#N/A,#N/A
,2021-06-02 18:54:51,2021-06-01,TRTN,Triton International Ltd,Gallagher Michelle,"VP, Controller",S - Sale,$55.00,"-1,713","8,721",-16%,"-$94,215",#N/A,#N/A
D,2021-06-02 18:52:23,2021-05-28,CABO,"Cable One, Inc.",Witty Peter N.,See Remarks,S - Sale+OE,"$1,816.93",-605,"3,478",-15%,"-$1,099,244",#N/A,#N/A
,2021-06-02 18:51:48,2021-05-28,ZION,"Zions Bancorporation, National Association /ut/",Stewart Randy R,EVP,S - Sale,$57.65,"-3,460","7,809",-31%,"-$199,484",#N/A,#N/A
,2021-06-02 18:51:02,2021-05-28,EXPI,"Exp World Holdings, Inc.",Sanford Penny,10%,S - Sale,$32.32,"-40,000","29,371,640",0%,"-$1,292,682",#N/A,#N/A
D,2021-06-02 18:48:12,2021-05-28,GWRS,"Global Water Resources, Inc.",Coy Debra,Dir,P - Purchase,$17.02,24,"16,715",0%,#ERROR!,24,406
,2021-06-02 18:45:51,2021-06-02,CARG,"Cargurus, Inc.",Schwartz Greg M,Dir,S - Sale,$27.33,"-3,900","14,942",-21%,"-$106,587",#N/A,#N/A
,2021-06-02 18:45:01,2021-06-02,CARG,"Cargurus, Inc.",Parafestas Anastasios,Dir,S - Sale,$27.36,"-10,000","4,369,177",0%,"-$273,600",#N/A,#N/A
M,2021-06-02 18:44:08,2021-06-01,CARG,"Cargurus, Inc.",Steinert Langley,"Exec COB, 10%",S - Sale,$27.70,"-31,098","1,109,990",-3%,"-$861,415",#N/A,#N/A
,2021-06-02 18:42:28,2021-05-28,ZIP,"Ziprecruiter, Inc.",Yarbrough Timothy G.,Chief Business Officer,S - Sale,$21.05,"-5,848","357,663",-2%,"-$123,100",#N/A,#N/A
D,2021-06-02 18:40:34,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.","Atlas Venture Fund Xi, L.P.",10%,P - Purchase,$16.00,#ERROR!,"250,000",-200%,#ERROR!,500000,8000000
M,2021-06-02 18:38:35,2021-05-28,SMLR,"Semler Scientific, Inc.",William H.C. Chang & Diana Shon Chang Ttee Chang Family Trust U/a Dtd 10/23/2006,10%,S - Sale,$110.04,"-1,063","1,117,226",0%,"-$116,971",#N/A,#N/A
,2021-06-02 18:38:25,2021-06-01,ACEL,"Accel Entertainment, Inc.",Ruttenberg David W.,Dir,S - Sale,$13.03,"-22,000","457,455",-5%,"-$286,563",#N/A,#N/A
DM,2021-06-02 18:35:12,2021-06-01,ISIG,Insignia Systems Inc/mn,Swenson Nicholas John,10%,P - Purchase,$7.64,#ERROR!,"212,894",32%,#ERROR!,51215,391505
D,2021-06-02 18:34:55,2021-06-01,NET,"Cloudflare, Inc.",Kramer Douglas James,GC,S - Sale+OE,$81.92,"-10,000","32,652",-23%,"-$819,152",#N/A,#N/A
,2021-06-02 18:34:38,2021-06-02,MMS,"Maximus, Inc.",Ruddy Raymond B,Dir,S - Sale,$90.87,"-24,820","103,648",-19%,"-$2,255,339",#N/A,#N/A
,2021-06-02 18:31:55,2021-05-28,PNTG,"Pennant Group, Inc.",Freeman Jennifer,CFO,S - Sale,$33.24,-621,"16,520",-4%,"-$20,642",#N/A,#N/A
D,2021-06-02 18:31:54,2021-06-01,MCK,McKesson Corp,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale+OE,$189.56,-145,566,-20%,"-$27,486",#N/A,#N/A
D,2021-06-02 18:30:39,2021-06-01,GDRX,"Goodrx Holdings, Inc.",Azad Babak,See Remarks,S - Sale+OE,$37.10,"-70,833",0,-100%,"-$2,627,650",#N/A,#N/A
M,2021-06-02 18:30:20,2021-05-28,MCK,McKesson Corp,Schechter Lori A.,"EVP, GC, GC",S - Sale,$190.06,"-14,490","19,178",-43%,"-$2,753,992",#N/A,#N/A
D,2021-06-02 18:28:48,2021-06-01,MCK,McKesson Corp,Tyler Brian S.,CEO,S - Sale+OE,$189.85,"-17,968","24,851",-42%,"-$3,411,253",#N/A,#N/A
D,2021-06-02 18:27:45,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Vaillancourt Paul,Chief Services Officer,S - Sale+OE,$55.51,"-13,638","228,083",-6%,"-$757,024",#N/A,#N/A
D,2021-06-02 18:27:35,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Mengoli Jeff,"GC, Secretary",S - Sale+OE,$56.06,"-21,048","122,409",-15%,"-$1,179,851",#N/A,#N/A
,2021-06-02 18:27:17,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Klein Russell Scott,Chief Commercial Officer,S - Sale,$55.46,"-11,775","262,225",-4%,"-$653,093",#N/A,#N/A
D,2021-06-02 18:26:56,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Eggerton Lisa,CMO,S - Sale+OE,$55.60,"-25,487","69,294",-27%,"-$1,417,014",#N/A,#N/A
D,2021-06-02 18:26:32,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Duvall Jimmy,Chief Product Officer,S - Sale+OE,$55.50,"-20,406","91,009",-18%,"-$1,132,559",#N/A,#N/A
,2021-06-02 18:26:08,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Dhatt Brian Singh,CTO,S - Sale,$55.63,"-15,406","79,009",-16%,"-$857,016",#N/A,#N/A
,2021-06-02 18:26:00,2021-06-01,FOLD,"Amicus Therapeutics, Inc.",Whitman Burke W,Dir,P - Purchase,$9.24,#ERROR!,"47,467",3%,#ERROR!,1500,13861
D,2021-06-02 18:25:51,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Alvarez Robert,CFO,S - Sale+OE,$55.94,"-48,887","360,735",-12%,"-$2,734,550",#N/A,#N/A
D,2021-06-02 18:25:45,2021-05-28,GDRX,"Goodrx Holdings, Inc.",Voermann Karsten,CFO,S - Sale+OE,$37.90,"-12,500",0,-100%,"-$473,743",#N/A,#N/A
,2021-06-02 18:25:27,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Bellm Brent,Pres Chief Exec Officer,S - Sale,$55.46,"-31,907","2,266,255",-1%,"-$1,769,703",#N/A,#N/A
,2021-06-02 18:25:05,2021-05-28,BIGC,"Bigcommerce Holdings, Inc.",Ostryniec Marc,Chief Sales Officer,S - Sale,$55.46,"-5,847","66,425",-8%,"-$324,300",#N/A,#N/A
D,2021-06-02 18:24:52,2021-06-01,GL,Globe Life Inc.,McPartland James Eric,"EVP,CIO",S - Sale+OE,$106.05,"-30,000","23,703",-56%,"-$3,181,581",#N/A,#N/A
,2021-06-02 18:23:14,2021-06-02,GOOG,Alphabet Inc.,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,435.85",-48,"3,546",-1%,"-$116,921",#N/A,#N/A
