Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,DeltaOwn,Value,Qty2,Value2
2021-06-01 06:01:18,2021-05-27,CMBM,Cambium Networks Corp,Rau Sally,GC,S - Sale,$58.60,"-4,938",0,-100%,"-$289,353",#N/A,#N/A
2021-06-01 06:10:13,2021-05-28,OCGN,"Ocugen, Inc.",Kompella Uday,Dir,S - Sale+OE,$8.82,"-7,191","1,030,090",-1%,"-$63,417",#N/A,#N/A
2021-06-01 07:00:36,2021-05-26,ESNT,Essent Group Ltd.,Kasmar Roy James,Dir,S - Sale,$47.96,"-6,314","26,109",-19%,"-$302,807",#N/A,#N/A
2021-06-01 07:34:17,2021-05-26,PSTI,Pluristem Therapeutics Inc,Clover Wolf Capital - Limited Partnership,10%,S - Sale,$3.70,"-355,570","3,121,918",-10%,"-$1,314,277",#N/A,#N/A
2021-06-01 08:21:50,2021-05-27,WTRG,"Essential Utilities, Inc.",Rubin Robert A,Chief Accounting Officer,S - Sale,$48.00,-349,"92,324",0%,"-$16,752",#N/A,#N/A
2021-06-01 08:48:04,2021-05-28,SAM,Boston Beer Co Inc,Koch C James,"COB, 10%",S - Sale,"$1,057.21","-2,500","272,907",-1%,"-$2,643,024",#N/A,#N/A
2021-06-01 09:19:41,2021-05-28,REX,Rex American Resources Corp,Bruggeman Douglas,"CFO, VP-Finance, Treasurer",S - Sale,$97.12,"-1,000","26,470",-4%,"-$97,120",#N/A,#N/A
2021-06-01 09:49:22,2021-05-28,NWBI,"Northwest Bancshares, Inc.",Tullio David M,Dir,P - Purchase,$14.09,#ERROR!,"9,200",77%,#ERROR!,4000,56340
2021-06-01 09:58:37,2021-05-27,CMXC,Cell Medx Corp.,Hargreaves Bradley S,"VP Technology, Operations, 10%",S - Sale,$0.28,"-5,000","5,648,252",0%,"-$1,400",#N/A,#N/A
2021-06-01 10:23:08,2021-05-27,ATLO,Ames National Corp,McGill Stephen C,President of Subsidiary Bank,P - Purchase,$25.41,200,"3,150",7%,#ERROR!,200,5082
2021-06-01 10:25:14,2021-05-28,GRMN,Garmin Ltd,Burrell Jonathan,"Dir, 10%",S - Sale,$142.58,"-84,237","21,455,477",0%,"-$12,010,436",#N/A,#N/A
2021-06-01 10:29:10,2021-05-27,FNF,"Fidelity National Financial, Inc.",Park Anthony,"EVP, CFO",S - Sale,$46.61,"-30,308","382,689",-7%,"-$1,412,504",#N/A,#N/A
2021-06-01 11:00:06,2021-05-27,EL,Estee Lauder Companies Inc,Bravo Rose Marie,Dir,S - Sale+OE,$304.23,"-4,234",0,-100%,"-$1,288,110",#N/A,#N/A
2021-06-01 11:43:44,2021-05-28,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,453.12",29,"376,450",0%,#ERROR!,29,42140
2021-06-01 11:52:27,2021-05-27,TLS,Telos Corp,Maluda John W,Dir,S - Sale,$33.16,"-40,000","29,142",-58%,"-$1,326,400",#N/A,#N/A
