Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,DeltaOwn,Value,Qty2,Value2
2022-03-28 7:20:14,2022-03-24,RIBT,Ricebran Technologies,Chemerow David I.,Dir,P - Purchase,$0.50,#ERROR!,"260,332",0.24,#ERROR!,50000,25079
2022-03-28 7:31:20,2022-03-24,AQMS,"Aqua Metals, Inc.",Taecker Benjamin S.,"Chief Eng, Opr Officer",S - Sale,$1.41,"-13,431","414,647",-3%,"-$18,938",#N/A,#N/A
2022-03-28 7:31:46,2022-03-24,AQMS,"Aqua Metals, Inc.",Cotton Stephen,CEO,S - Sale,$1.41,"-100,605","4,070,975",-2%,"-$141,853",#N/A,#N/A
2022-03-28 8:00:29,2022-03-25,TNXP,Tonix Pharmaceuticals Holding Corp.,Lederman Seth,CEO,P - Purchase,$0.25,#ERROR!,"248,024",0.68,#ERROR!,100000,24500
2022-03-28 8:56:52,2022-03-25,REX,Rex American Resources Corp,Bruggeman Douglas,"CFO, VP-Finance, Treasurer",S - Sale,$104.55,"-1,100","18,765",-6%,"-$115,005",#N/A,#N/A
2022-03-28 9:34:50,2022-03-24,XAIR,"Beyond Air, Inc.",Carey Robert,Dir,P - Purchase,$6.64,#ERROR!,"547,323",0.05,#ERROR!,26185,173872
2022-03-28 9:50:24,2022-03-25,CMTV,Community Bancorp /vt,Laforce David,Dir,P - Purchase,$22.25,100,"5,970",0.02,#ERROR!,100,2225
2022-03-28 10:48:27,2022-03-25,CLH,Clean Harbors Inc,Gerstenberg Eric W,COO(CHESI),S - Sale,$106.62,"-6,927","90,826",-7%,"-$738,557",#N/A,#N/A
2022-03-28 10:58:46,2022-03-25,GRIL,"Muscle Maker, Inc.",Miller Kenneth Eugene,COO,P - Purchase,$0.51,#ERROR!,"33,942",0.06,#ERROR!,1800,909
2022-03-28 11:00:29,2022-03-25,GRIL,"Muscle Maker, Inc.",Infante Aimee,CMO,P - Purchase,$0.50,#ERROR!,"4,102",0.58,#ERROR!,1500,750
2022-03-28 12:07:16,2022-03-28,JOUT,Johnson Outdoors Inc,Johnson David W,"VP, CFO",S - Sale,$80.08,"-1,000","21,204",-5%,"-$80,080",#N/A,#N/A
2022-03-28 12:13:54,2022-03-24,FOMC,Fomo Corp.,Szoradi Charles Attila,"Advisory Board Member, 10%",S - Sale,$0.00,"-2,370","8,500,000",0%,-$2,#N/A,#N/A
2022-03-28 12:15:21,2022-03-25,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,454.50",20,"368,967",0%,#ERROR!,20,29090
2022-03-28 12:57:39,2022-03-25,WLFC,Willis Lease Finance Corp,Hunziker Hans Jorg,Dir,S - Sale,$33.29,-940,"22,494",-4%,"-$31,293",#N/A,#N/A
2022-03-28 12:58:51,2022-03-28,UMH,"Umh Properties, Inc.",Quigley Kenneth K Jr,Dir,P - Purchase,$23.76,#ERROR!,"13,822",0.08,#ERROR!,1000,23759
2022-03-28 13:19:45,2022-03-25,PFMT,Performant Financial Corp,"Prescott Group Capital Management, L.L.C.",10%,P - Purchase,$2.84,#ERROR!,"15,454,704",0.01,#ERROR!,100000,284000
2022-03-28 13:28:26,2022-03-25,NUE,Nucor Corp,Keller Michael D,"Vice Pres, Corp. Contro",S - Sale,$154.58,"-3,600","26,134",-12%,"-$556,474",#N/A,#N/A
2022-03-28 13:48:53,2022-03-25,WLK,Westlake Corp,Bender Mark Steven,"EVP, CFO",S - Sale+OE,$125.34,"-8,000","30,725",-21%,"-$1,002,724",#N/A,#N/A
2022-03-28 13:50:08,2022-03-25,WLK,Westlake Corp,Kearns Roger L.,"COO, EVP - PEM",S - Sale+OE,$126.00,"-10,333","26,389",-28%,"-$1,301,928",#N/A,#N/A
2022-03-28 14:32:58,2022-03-24,MAC,Macerich Co,O Hern Thomas E,CEO,P - Purchase,$14.62,#ERROR!,"137,880",0.08,#ERROR!,10000,146150
2022-03-28 15:01:54,2022-03-25,BUDZ,"Weed, Inc.",Breen Nicole M,"Secretary, Treasurer, 10%",S - Sale,$0.25,"-45,000","21,140,584",0%,"-$11,283",#N/A,#N/A
2022-03-28 15:53:19,2022-03-24,AIR,Aar Corp,Storch David P,Dir,S - Sale+OE,$50.83,"-47,500","1,003,532",-5%,"-$2,414,387",#N/A,#N/A
2022-03-28 16:00:22,2022-03-25,SEAS,"Seaworld Entertainment, Inc.",Swanson Marc,CEO,S - Sale,$73.88,"-6,298","210,243",-3%,"-$465,296",#N/A,#N/A
2022-03-28 16:00:38,2022-03-24,ONCT,"Oncternal Therapeutics, Inc.",Vincent Richard G,CFO,P - Purchase,$1.44,#ERROR!,"94,522",0.06,#ERROR!,5000,7210
2022-03-28 16:00:38,2022-03-25,VAC,Marriott Vacations Worldwide Corp,Yonker Michael E.,"EVP, CHRO",S - Sale,$155.35,"-1,000","12,371",-7%,"-$155,350",#N/A,#N/A
2022-03-28 16:01:53,2022-03-25,AME,Ametek Inc/,Conti Anthony James,Dir,S - Sale+OE,$133.37,"-5,160","26,078",-17%,"-$688,186",#N/A,#N/A
2022-03-28 16:02:58,2022-03-24,KFS,Kingsway Financial Services Inc,Stilwell Joseph,"Dir, 10%",P - Purchase,$5.50,#ERROR!,"1,733,912",0.01,#ERROR!,20000,110000
2022-03-28 16:04:41,2022-03-28,AME,Ametek Inc/,Amato Thomas A,Dir,S - Sale,$133.03,-615,"9,560",-6%,"-$81,814",#N/A,#N/A
2022-03-28 16:05:03,2022-03-25,FPI,Farmland Partners Inc.,Pittman Paul A,CEO,P - Purchase,$13.44,#ERROR!,"2,362,907",0%,#ERROR!,2000,26870
2022-03-28 16:05:28,2022-03-25,SOWG,Sow Good Inc.,Goldfarb IRA,"Exec COB, 10%",P - Purchase,$0.00,#ERROR!,"1,783,373",0%,#ERROR!,6044,0
2022-03-28 16:06:34,2022-03-25,NXGL,"Nexgel, Inc.",Glassman Steven Mark,Dir,P - Purchase,$1.87,#ERROR!,"115,092",0.05,#ERROR!,5500,10285
2022-03-28 16:07:54,2022-03-25,NXGL,"Nexgel, Inc.",Zeldis Jerome B,Dir,P - Purchase,$1.89,#ERROR!,"88,028",0.06,#ERROR!,5300,10010
2022-03-28 16:08:53,2022-03-25,ATSG,"Air Transport Services Group, Inc.",Vorholt Jeffrey J,Dir,P - Purchase,$32.94,#ERROR!,"31,643",0.07,#ERROR!,2000,65877
2022-03-28 16:08:56,2022-03-24,KEYS,"Keysight Technologies, Inc.",Stephens Kevin A,Dir,P - Purchase,$158.92,#ERROR!,"2,626",0.62,#ERROR!,1000,158924
2022-03-28 16:09:34,2022-03-24,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Pres, CEO",P - Purchase,$6.85,#ERROR!,"440,275",0.01,#ERROR!,3570,24455
2022-03-28 16:09:58,2022-03-25,NXGL,"Nexgel, Inc.",Stein Nachum,Dir,P - Purchase,$1.90,#ERROR!,"481,358",0.01,#ERROR!,5000,9500
2022-03-28 16:11:25,2022-03-24,F,Ford Motor Co,Ford William Clay Jr,"Exec Chair, Chair",P - Purchase,$16.81,#ERROR!,"15,729,727",0.02,#ERROR!,267697,4499987
2022-03-28 16:13:52,2022-03-24,EMAN,Emagin Corp,Ginola Ltd,10%,S - Sale,$1.16,"-67,601","351,067",-16%,"-$78,456",#N/A,#N/A
2022-03-28 16:15:21,2022-03-24,AI,"C3.Ai, Inc.",Parkkinen Juho,"SVP, CFO",S - Sale,$23.57,"-1,930","171,269",-1%,"-$45,490",#N/A,#N/A
2022-03-28 16:15:30,2022-03-24,CECE,Ceco Environmental Corp,Gleason Todd R,CEO,P - Purchase,$5.56,#ERROR!,"190,797",0.01,#ERROR!,1776,9869
2022-03-28 16:15:30,2022-03-24,NEXI,"Neximmune, Inc.",Verstandig Grant,Dir,P - Purchase,$3.94,#ERROR!,"905,495",0.27,#ERROR!,190600,750274
2022-03-28 16:15:54,2022-03-25,QRHC,Quest Resource Holding Corp,Wynnefield Partners Small Cap Value LP I,10%,P - Purchase,$6.23,#ERROR!,"2,316,763",0%,#ERROR!,3000,18690
2022-03-28 16:17:21,2022-03-24,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,COB,S - Sale,$66.18,"-40,000","3,307,511",-1%,"-$2,647,054",#N/A,#N/A
2022-03-28 16:19:08,2022-03-25,KMI,"Kinder Morgan, Inc.",Schlosser John W,"VP (Pres, Terminals)",S - Sale,$18.35,"-1,500","34,719",-4%,"-$27,518",#N/A,#N/A
2022-03-28 16:20:59,2022-03-25,CRM,"Salesforce.Com, Inc.",Benioff Marc,"COB, co-CEO",S - Sale+OE,$210.85,"-2,300","28,918,241",0%,"-$484,961",#N/A,#N/A
2022-03-28 16:22:32,2022-03-25,HSY,Hershey Co,Riggs Kristen J,"SVP, Chief Growth Officer",S - Sale+OE,$211.80,"-2,608","9,771",-21%,"-$552,374",#N/A,#N/A
2022-03-28 16:22:54,2022-03-24,EXPI,"Exp World Holdings, Inc.",Sanford Glenn Darrel,"CEO, COB, 10%",S - Sale+OE,$23.01,"-18,000","42,034,338",0%,"-$414,246",#N/A,#N/A
2022-03-28 16:24:21,2022-03-24,FLYW,Flywire Corp,Riese Phillip John,Dir,S - Sale+OE,$27.66,"-5,000","7,292",-41%,"-$138,293",#N/A,#N/A
2022-03-28 16:26:54,2022-03-28,SWAV,"Shockwave Medical, Inc.",Zacharias Isaac,Chief Commercial Officer,S - Sale,$188.83,"-4,000","69,841",-5%,"-$755,320",#N/A,#N/A
2022-03-28 16:27:53,2022-03-25,HSY,Hershey Co,Scalia Christopher M,"SVP, CHRO",S - Sale+OE,$213.64,"-3,647","9,108",-29%,"-$779,130",#N/A,#N/A
2022-03-28 16:30:03,2022-03-25,WLFC,Willis Lease Finance Corp,Hole Brian Richard,Pres,S - Sale,$33.52,"-2,444","82,792",-3%,"-$81,923",#N/A,#N/A
2022-03-28 16:30:46,2022-03-25,SBOW,"Silverbow Resources, Inc.",Adam Steven W,"EVP, COO",S - Sale,$34.50,"-10,000","112,718",-8%,"-$345,000",#N/A,#N/A
2022-03-28 16:30:48,2022-03-24,ABNB,"Airbnb, Inc.",Johnson Belinda J.,Dir,S - Sale,$165.00,"-20,000","79,327",-20%,"-$3,300,000",#N/A,#N/A
2022-03-28 16:31:12,2022-03-24,TCRX,"Tscan Therapeutics, Inc.",Silver Brian M.,CFO,P - Purchase,$3.40,#ERROR!,"26,885",1.26,#ERROR!,15000,50982
2022-03-28 16:34:14,2022-03-24,HMTV,"Hemisphere Media Group, Inc.","Edenbrook Capital, LLC",10%,P - Purchase,$4.94,#ERROR!,"2,755,248",0%,#ERROR!,13100,64761
2022-03-28 16:34:54,2022-03-24,AZO,Autozone Inc,Gould Eric S.,SVP,S - Sale+OE,"$2,000.00","-2,550",914,-74%,"-$5,100,000",#N/A,#N/A
2022-03-28 16:38:08,2022-03-24,ALTG,Alta Equipment Group Inc.,"B. Riley Financial, Inc.",10%,P - Purchase,$12.28,#ERROR!,"6,267,091",0.03,#ERROR!,186395,2288931
2022-03-28 16:38:53,2022-03-24,ADBE,Adobe Inc.,Garfield Mark S.,"SVP, CAO, Corp. Controller",S - Sale,$425.79,-463,"2,144",-18%,"-$197,141",#N/A,#N/A
