Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,DeltaOwn,Value,Qty2,Value2
2021-10-07 21:31:46,2021-10-06,CRM,"Salesforce.Com, Inc.",Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$272.84,"-20,000","28,986,249",0%,"-$5,456,875",#N/A,#N/A
2021-10-07 21:26:02,2021-10-05,BLFS,Biolife Solutions Inc,Rice Michael,CEO,S - Sale+OE,$40.59,"-22,922","264,555",-8%,"-$930,404",#N/A,#N/A
2021-10-07 21:02:35,2021-10-06,EQ,"Equillium, Inc.",Connelly Stephen,Chief Scientific Officer,S - Sale+OE,$7.01,"-8,092","993,000",-1%,"-$56,706",#N/A,#N/A
2021-10-07 20:44:06,2021-10-05,SNOW,Snowflake Inc.,McMahon John Dennis,Dir,S - Sale+OE,$291.44,"-41,090","392,977",-9%,"-$11,975,272",#N/A,#N/A
2021-10-07 20:39:27,2021-10-05,STEP,Stepstone Group Inc.,Randel Johnny D,CFO,S - Sale,$41.23,"-50,090","1,293,231",-4%,"-$2,065,008",#N/A,#N/A
2021-10-07 20:37:56,2021-10-05,VZIO,Vizio Holding Corp.,Baxter William T,CTO,S - Sale+OE,$21.33,"-11,586","60,708",-16%,"-$247,185",#N/A,#N/A
2021-10-07 20:32:23,2021-10-05,HUBS,Hubspot Inc,Shah Dharmesh,CTO,S - Sale,$658.23,"-20,000","1,562,838",-1%,"-$13,164,549",#N/A,#N/A
2021-10-07 20:28:39,2021-10-06,CXDO,"Crexendo, Inc.",Wang David Tzat-Kin,CTO,S - Sale+OE,$5.62,"-2,000","422,597",0%,"-$11,240",#N/A,#N/A
2021-10-07 20:28:21,2021-10-07,NARI,"Inari Medical, Inc.",Hoffman William,"Pres, CEO",S - Sale,$81.09,"-29,900","600,369",-5%,"-$2,424,734",#N/A,#N/A
2021-10-07 20:24:25,2021-10-05,FORA,Forian Inc.,Wygod Martin J,Dir,P - Purchase,$10.09,#ERROR!,"2,430,592",0%,#ERROR!,3700,37326
2021-10-07 20:04:44,2021-10-05,NGM,Ngm Biopharmaceuticals Inc,Lieu Hsiao D,"SVP, Chief Medical Officer",S - Sale+OE,$22.00,"-2,000",0,-100%,"-$44,000",#N/A,#N/A
2021-10-07 19:38:45,2021-10-05,AYRO,"Ayro, Inc.",Joseph Zvi,Dir,S - Sale,$3.20,"-2,535","72,757",-3%,"-$8,109",#N/A,#N/A
2021-10-07 19:37:27,2021-10-05,AYRO,"Ayro, Inc.",Walker Wayne Remell,Dir,S - Sale,$3.20,"-1,625","21,125",-7%,"-$5,198",#N/A,#N/A
2021-10-07 19:35:55,2021-10-05,AYRO,"Ayro, Inc.",Giordano Sebastian,Dir,S - Sale,$3.20,"-2,275","79,963",-3%,"-$7,276",#N/A,#N/A
2021-10-07 19:35:04,2021-10-05,AYRO,"Ayro, Inc.",Schiffman Gregory T,Dir,S - Sale,$3.20,"-2,535","73,893",-3%,"-$8,115",#N/A,#N/A
2021-10-07 19:33:42,2021-10-05,AYRO,"Ayro, Inc.",Devlin George,Dir,S - Sale,$3.20,"-3,120","59,252",-5%,"-$9,981",#N/A,#N/A
2021-10-07 19:25:16,2021-10-05,MXL,Maxlinear Inc,Seendripu Kishore,"COB, Pres, CEO, 10%",S - Sale,$48.84,"-40,086","3,648,580",-1%,"-$1,957,759",#N/A,#N/A
2021-10-07 19:22:32,2021-10-06,ZEN,"Zendesk, Inc.",Abildgaard Soren,EVP of Engineering,S - Sale+OE,$110.67,"-2,188","3,796",-37%,"-$242,146",#N/A,#N/A
2021-10-07 19:21:28,2021-10-05,GATEU,Marblegate Acquisition Corp.,Marblegate Acquisition LLC,10%,P - Purchase,$10.00,#ERROR!,"610,000",New,#ERROR!,610000,6100000
2021-10-07 19:18:44,2021-08-31,HCWB,Hcw Biologics Inc.,Wong Hing C,CEO,P - Purchase,$3.94,#ERROR!,"15,281,948",0%,#ERROR!,5830,22970
2021-10-07 19:17:50,2021-08-27,HCWB,Hcw Biologics Inc.,Wong Hing C,CEO,P - Purchase,$3.76,#ERROR!,"15,270,118",0%,#ERROR!,8000,30100
2021-10-07 19:12:50,2021-10-05,BILL,"Bill.Com Holdings, Inc.",Rettig John R.,CFO,S - Sale+OE,$265.81,"-6,500","157,770",-4%,"-$1,727,769",#N/A,#N/A
2021-10-07 19:03:40,2021-10-05,ZM,"Zoom Video Communications, Inc.",Bawa Aparna,COO,S - Sale,$259.62,"-1,913","99,260",-2%,"-$496,653",#N/A,#N/A
2021-10-07 19:02:19,2021-10-05,VRNS,Varonis Systems Inc,Segev Ofer,Dir,S - Sale,$61.43,"-1,500","73,302",-2%,"-$92,141",#N/A,#N/A
2021-10-07 19:00:31,2021-10-05,FB,Facebook Inc,Newstead Jennifer,GC,S - Sale,$328.69,-125,"10,688",-1%,"-$41,086",#N/A,#N/A
2021-10-07 19:00:11,2021-10-05,ADPT,Adaptive Biotechnologies Corp,Cohen Chad M,CFO,S - Sale+OE,$32.41,"-10,000","21,604",-32%,"-$324,050",#N/A,#N/A
2021-10-07 18:55:40,2021-10-06,HRMY,"Harmony Biosciences Holdings, Inc.",Dayno Jeffrey M.,Chief Medical Officer,S - Sale+OE,$40.10,"-1,800",0,-100%,"-$72,179",#N/A,#N/A
2021-10-07 18:55:27,2021-10-05,TWTR,"Twitter, Inc.",Montano Michael,Engineering Lead,S - Sale,$59.09,"-4,500","573,837",-1%,"-$265,905",#N/A,#N/A
2021-10-07 18:55:24,2021-10-05,COIN,"Coinbase Global, Inc.",Jones Jennifer N.,Chief Accounting Officer,S - Sale+OE,$243.35,-796,"19,009",-4%,"-$193,704",#N/A,#N/A
2021-10-07 18:53:14,2021-10-05,COIN,"Coinbase Global, Inc.",Chatterjee Surojit,Chief Product Officer,S - Sale+OE,$238.00,"-10,000","5,344",-65%,"-$2,380,009",#N/A,#N/A
2021-10-07 18:24:12,2021-10-05,CRTX,"Cortexyme, Inc.",Lowe Christopher P.,"COO, CFO",S - Sale+OE,$98.50,"-4,963","60,000",-8%,"-$488,856",#N/A,#N/A
