,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value,NumTrades,NumTradesCAT,TradeToFileTime,TradeToFileTimeCAT,%VolumeChange,%VolumeChangeCAT,%FuturePriceChange
0,2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Van Dyke Litz H,CEO,P - Purchase,15.41,129.0,18557.0,1.0,1988.0,,,,,,,
1,2021-06-01,2021-05-27,PANL,Pangaea Logistics Solutions Ltd.,"Pangaea One Acquisition Holdings Xiv, LLC",10%,S - Sale,4.21,-184466.0,6788742.0,-3.0,-775965.0,,,,,,,
2,2021-06-01,2021-05-27,TALO,Talos Energy Inc.,"Apollo Management Holdings Gp, LLC",10%,S - Sale,14.1,-81942.0,18808537.0,0.0,-1155620.0,,,,,,,
3,2021-06-01,2019-07-18,CLXT,"Calyxt, Inc.",Dumont Philippe,Dir,S - Sale,10.0,-706.0,16354.0,-4.0,-7060.0,,,,,,,
4,2021-06-01,2021-05-27,FLUX,"Flux Power Holdings, Inc.",Johnson Michael,"Dir, 10%",S - Sale,10.55,-38738.0,4584558.0,-1.0,-408564.0,,,,,,,
5,2021-06-01,2021-05-28,RRGB,Red Robin Gourmet Burgers Inc,Belhumeur Kristi A,Chief Accounting Officer,S - Sale+OE,35.48,-2507.0,7143.0,-26.0,-88954.0,,,,,,,
6,2021-06-01,2021-05-28,FPAY,"Flexshopper, Inc.",Katz Thomas O.,Dir,P - Purchase,2.66,10000.0,43500.0,30.0,26600.0,,,,,,,
7,2021-06-01,2021-06-01,ALK,"Alaska Air Group, Inc.",Tilden Bradley D,COB,S - Sale,69.85,-6500.0,133500.0,-5.0,-454017.0,,,,,,,
8,2021-06-01,2021-05-28,FPAY,"Flexshopper, Inc.",Dvorkin Howard,"Dir, 10%",P - Purchase,2.67,41757.0,2029641.0,2.0,111524.0,,,,,,,
9,2021-06-01,2021-05-27,EA,Electronic Arts Inc.,Hoag Jay C,Dir,S - Sale,143.61,-70000.0,135376.0,-34.0,-10052335.0,,,,,,,
10,2021-06-01,2021-06-01,MATX,"Matson, Inc.",Forest Ronald J,Pres,S - Sale,65.26,-2500.0,77127.0,-3.0,-163154.0,,,,,,,
11,2021-06-01,2021-06-01,GNRC,Generac Holdings Inc.,Jagdfeld Aaron,CEO,S - Sale,331.18,-5000.0,635913.0,-1.0,-1655881.0,,,,,,,
12,2021-06-01,2021-05-27,SIBN,"Si-Bone, Inc.",Freund John Gordon,Dir,S - Sale,30.38,-71587.0,484208.0,-13.0,-2174968.0,,,,,,,
13,2021-06-01,2021-05-27,TNET,"Trinet Group, Inc.",Chamberlain Paul Edward,Dir,S - Sale,77.73,-175.0,36185.0,0.0,-13603.0,,,,,,,
14,2021-06-01,2021-05-28,PRI,"Primerica, Inc.",Schneider Peter W.,Pres,S - Sale,160.83,-3000.0,30202.0,-9.0,-482490.0,,,,,,,
15,2021-06-01,2021-05-27,RNG,"Ringcentral, Inc.",Marlow John H,"SVP, CAO, GC",S - Sale,259.22,-3434.0,193947.0,-2.0,-890173.0,,,,,,,
16,2021-06-01,2021-05-27,RNG,"Ringcentral, Inc.",Theis Robert I,Dir,S - Sale,260.66,-2000.0,19978.0,-9.0,-521320.0,,,,,,,
17,2021-06-01,2021-05-28,AMC,"Amc Entertainment Holdings, Inc.",Colanero Stephen A,"EVP, CMO",S - Sale,27.42,-15000.0,93879.0,-14.0,-411306.0,,,,,,,
18,2021-06-01,2021-05-28,MDT,Medtronic Plc,Liddicoat John R,"EVP, Pres of Americas",S - Sale+OE,126.65,-34656.0,42551.0,-45.0,-4389182.0,,,,,,,
19,2021-06-01,2021-06-01,BL,"Blackline, Inc.",Tucker Therese,Exec Chair,S - Sale,102.25,-10000.0,4663183.0,0.0,-1022508.0,,,,,,,
20,2021-06-01,2021-05-28,ID,"Parts Id, Inc.",Petkar Rahul,Dir,P - Purchase,6.07,1200.0,8342.0,17.0,7279.0,,,,,,,
21,2021-06-01,2021-05-27,ATEX,Anterix Inc.,Schwartz Robert Harris,"Pres, CEO",S - Sale,48.32,-3409.0,81383.0,-4.0,-164723.0,,,,,,,
22,2021-06-01,2021-04-29,DFCO,Dalrada Financial Corp,Bonar Brian,CEO,P - Purchase,0.42,10525.0,5827315.0,0.0,4419.0,,,,,,,
23,2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Ayers Jonathan W,Dir,S - Sale+OE,562.26,-9460.0,654701.0,-1.0,-5318989.0,,,,,,,
24,2021-06-01,2021-05-27,WWD,"Woodward, Inc.",Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,128.0,-9000.0,6436.0,-58.0,-1152000.0,,,,,,,
25,2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Polewaczyk James F,EVP,S - Sale+OE,561.91,-10000.0,19915.0,-33.0,-5619057.0,,,,,,,
26,2021-06-01,2021-06-01,PRI,"Primerica, Inc.",Rand Alison S.,"EVP, CFO",S - Sale,163.0,-2000.0,14847.0,-12.0,-326000.0,,,,,,,
27,2021-06-01,2021-05-27,PRMW,Primo Water Corp /cn/,Fowden Jeremy S G,Dir,S - Sale+OE,17.61,-897.0,1359290.0,0.0,-15796.0,,,,,,,
28,2021-06-01,2021-05-28,BLKB,Blackbaud Inc,McDearis Kevin,Chief Products Officer,S - Sale,71.06,-708.0,71510.0,-1.0,-50312.0,,,,,,,
29,2021-06-01,2021-05-27,BXMT,"Blackstone Mortgage Trust, Inc.",Marone Anthony F. Jr,CFO,S - Sale,31.91,-398.0,39493.0,-1.0,-12700.0,,,,,,,
30,2021-06-01,2021-05-27,OOMA,Ooma Inc,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,18.57,-5297.0,58349.0,-8.0,-98350.0,,,,,,,
31,2021-06-01,2021-05-28,LCI,Lannett Co Inc,Farber Jeffrey,"Dir, 10%",P - Purchase,4.37,10000.0,1678510.0,1.0,43700.0,,,,,,,
32,2021-06-01,2021-06-01,KRTX,"Karuna Therapeutics, Inc.",Pande Atul,Dir,S - Sale+OE,111.44,-2500.0,0.0,-100.0,-278600.0,,,,,,,
33,2021-06-01,2021-05-28,KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,4.93,304.0,57825.0,1.0,1498.0,,,,,,,
34,2021-06-01,2021-06-01,OSH,"Oak Street Health, Inc.",General Atlantic LLC,"Dir, 10%",S - Sale,60.14,-7260689.0,61384475.0,-11.0,-436657836.0,,,,,,,
35,2021-06-01,2021-05-27,ASMB,"Assembly Biosciences, Inc.",Delaney William E IV,Chief Scientific Officer,S - Sale,4.03,-4129.0,53121.0,-7.0,-16637.0,,,,,,,
36,2021-06-01,2021-05-28,GSHD,"Goosehead Insurance, Inc.",Moxley Michael Patrick,VP of Service Delivery,S - Sale+OE,90.8,-2500.0,92008.0,-3.0,-227002.0,,,,,,,
37,2021-06-01,2021-05-18,POLA,"Polar Power, Inc.",Albrecht Keith,Dir,S - Sale,10.15,-2320.0,21014.0,-10.0,-23548.0,,,,,,,
